cell50,year,species,species_count,total_mammal_count_same_cell
2128,2015,striped_skunk,0,2
2128,2016,striped_skunk,0,2
2128,2017,striped_skunk,0,2
2128,2018,striped_skunk,0,18
2128,2019,striped_skunk,0,20
2128,2020,striped_skunk,1,28
2128,2021,striped_skunk,2,37
2128,2022,striped_skunk,2,34
2128,2023,striped_skunk,1,49
2128,2024,striped_skunk,5,51
2128,2025,striped_skunk,11,147
2129,2009,striped_skunk,0,4
2129,2013,striped_skunk,0,1
2129,2014,striped_skunk,0,2
2129,2015,striped_skunk,0,6
2129,2016,striped_skunk,0,9
2129,2018,striped_skunk,0,9
2129,2019,striped_skunk,0,14
2129,2020,striped_skunk,0,22
2129,2021,striped_skunk,1,26
2129,2022,striped_skunk,1,35
2129,2023,striped_skunk,1,129
2129,2024,striped_skunk,2,101
2129,2025,striped_skunk,6,120
2131,2009,striped_skunk,0,1
2131,2011,striped_skunk,0,1
2131,2012,striped_skunk,0,1
2131,2013,striped_skunk,0,1
2131,2014,striped_skunk,0,1
2131,2015,striped_skunk,0,4
2131,2016,striped_skunk,0,9
2131,2017,striped_skunk,1,21
2131,2018,striped_skunk,0,18
2131,2019,striped_skunk,0,11
2131,2020,striped_skunk,0,15
2131,2021,striped_skunk,0,18
2131,2022,striped_skunk,0,29
2131,2023,striped_skunk,0,30
2131,2024,striped_skunk,0,23
2131,2025,striped_skunk,0,47
2132,2010,striped_skunk,1,2
2132,2012,striped_skunk,0,1
2132,2013,striped_skunk,0,3
2132,2015,striped_skunk,1,6
2132,2016,striped_skunk,0,10
2132,2017,striped_skunk,0,6
2132,2018,striped_skunk,0,6
2132,2019,striped_skunk,1,16
2132,2020,striped_skunk,0,20
2132,2021,striped_skunk,1,53
2132,2022,striped_skunk,0,71
2132,2023,striped_skunk,1,36
2132,2024,striped_skunk,0,33
2132,2025,striped_skunk,0,47
2144,2008,striped_skunk,0,1
2144,2009,striped_skunk,0,7
2144,2010,striped_skunk,0,4
2144,2011,striped_skunk,0,14
2144,2012,striped_skunk,0,5
2144,2013,striped_skunk,0,4
2144,2014,striped_skunk,0,13
2144,2015,striped_skunk,0,11
2144,2016,striped_skunk,0,10
2144,2017,striped_skunk,1,18
2144,2018,striped_skunk,0,23
2144,2019,striped_skunk,0,15
2144,2020,striped_skunk,0,12
2144,2021,striped_skunk,0,25
2144,2022,striped_skunk,0,28
2144,2023,striped_skunk,0,43
2144,2024,striped_skunk,0,128
2144,2025,striped_skunk,0,47
2150,2012,striped_skunk,0,1
2150,2013,striped_skunk,0,2
2150,2016,striped_skunk,0,1
2150,2017,striped_skunk,0,2
2150,2018,striped_skunk,0,2
2150,2019,striped_skunk,0,6
2150,2020,striped_skunk,0,2
2150,2021,striped_skunk,0,19
2150,2022,striped_skunk,0,19
2150,2023,striped_skunk,1,15
2150,2024,striped_skunk,0,19
2150,2025,striped_skunk,0,10
2151,2011,striped_skunk,0,1
2151,2013,striped_skunk,0,9
2151,2015,striped_skunk,0,4
2151,2016,striped_skunk,0,3
2151,2017,striped_skunk,0,2
2151,2018,striped_skunk,1,15
2151,2019,striped_skunk,0,3
2151,2020,striped_skunk,0,4
2151,2021,striped_skunk,3,66
2151,2022,striped_skunk,0,17
2151,2023,striped_skunk,0,42
2151,2024,striped_skunk,0,15
2151,2025,striped_skunk,0,20
2157,2015,striped_skunk,0,2
2157,2016,striped_skunk,0,5
2157,2017,striped_skunk,0,1
2157,2018,striped_skunk,0,6
2157,2019,striped_skunk,1,12
2157,2020,striped_skunk,0,14
2157,2021,striped_skunk,0,13
2157,2022,striped_skunk,0,14
2157,2023,striped_skunk,0,11
2157,2024,striped_skunk,0,17
2157,2025,striped_skunk,1,27
2163,2021,striped_skunk,0,1
2163,2025,striped_skunk,1,1
2166,2018,striped_skunk,1,1
2166,2024,striped_skunk,0,2
2166,2025,striped_skunk,0,6
2167,2011,striped_skunk,0,1
2167,2016,striped_skunk,0,1
2167,2018,striped_skunk,0,3
2167,2022,striped_skunk,0,1
2167,2023,striped_skunk,1,8
2167,2024,striped_skunk,0,7
2167,2025,striped_skunk,0,1
2168,2020,striped_skunk,0,1
2168,2021,striped_skunk,0,2
2168,2023,striped_skunk,1,1
2169,2019,striped_skunk,0,5
2169,2020,striped_skunk,1,21
