cell50,n,x50,y50,in_range
724,0,-2050000,2435000,FALSE
725,0,-2000000,2435000,FALSE
726,0,-1950000,2435000,FALSE
727,0,-1900000,2435000,FALSE
728,0,-1850000,2435000,FALSE
729,0,-1800000,2435000,FALSE
730,0,-1750000,2435000,FALSE
731,0,-1700000,2435000,FALSE
732,0,-1650000,2435000,FALSE
733,0,-1600000,2435000,FALSE
734,2,-1550000,2435000,TRUE
735,4,-1500000,2435000,TRUE
736,23,-1450000,2435000,TRUE
737,10,-1400000,2435000,TRUE
738,0,-1350000,2435000,TRUE
739,20,-1300000,2435000,TRUE
740,26,-1250000,2435000,TRUE
741,13,-1200000,2435000,TRUE
742,53,-1150000,2435000,TRUE
743,0,-1100000,2435000,FALSE
744,0,-1050000,2435000,FALSE
745,0,-1000000,2435000,FALSE
746,0,-950000,2435000,FALSE
747,52,-900000,2435000,FALSE
748,13,-850000,2435000,FALSE
749,0,-800000,2435000,FALSE
750,0,-750000,2435000,FALSE
751,0,-700000,2435000,FALSE
752,0,-650000,2435000,FALSE
753,0,-600000,2435000,FALSE
754,0,-550000,2435000,FALSE
755,0,-500000,2435000,FALSE
757,0,-400000,2435000,FALSE
758,0,-350000,2435000,FALSE
759,0,-300000,2435000,FALSE
760,0,-250000,2435000,FALSE
761,0,-200000,2435000,FALSE
762,0,-150000,2435000,FALSE
763,0,-100000,2435000,FALSE
764,0,-50000,2435000,FALSE
765,0,0,2435000,FALSE
766,0,50000,2435000,FALSE
767,0,100000,2435000,FALSE
768,0,150000,2435000,FALSE
769,0,200000,2435000,FALSE
770,0,250000,2435000,FALSE
771,0,300000,2435000,FALSE
772,0,350000,2435000,FALSE
773,0,400000,2435000,FALSE
774,0,450000,2435000,FALSE
775,0,500000,2435000,FALSE
776,0,550000,2435000,FALSE
777,0,600000,2435000,FALSE
778,0,650000,2435000,FALSE
779,0,700000,2435000,FALSE
780,0,750000,2435000,FALSE
781,0,800000,2435000,FALSE
782,0,850000,2435000,FALSE
783,0,900000,2435000,FALSE
784,0,950000,2435000,FALSE
785,0,1000000,2435000,FALSE
786,0,1050000,2435000,FALSE
787,0,1550000,2435000,FALSE
788,0,1600000,2435000,TRUE
789,0,1650000,2435000,TRUE
790,1,1700000,2435000,TRUE
791,2,1750000,2435000,TRUE
792,2,1800000,2435000,TRUE
793,59,1850000,2435000,TRUE
794,40,1900000,2435000,TRUE
795,17,1950000,2435000,TRUE
796,4,2000000,2435000,TRUE
797,0,2050000,2435000,TRUE
798,0,-2300000,2385000,FALSE
799,0,-2250000,2385000,FALSE
800,0,-2200000,2385000,FALSE
801,0,-2150000,2385000,FALSE
802,0,-2100000,2385000,FALSE
803,0,-2050000,2385000,FALSE
804,0,-2000000,2385000,FALSE
805,0,-1950000,2385000,FALSE
806,0,-1900000,2385000,FALSE
807,0,-1850000,2385000,FALSE
808,0,-1800000,2385000,FALSE
809,0,-1750000,2385000,FALSE
810,0,-1700000,2385000,FALSE
811,0,-1650000,2385000,FALSE
812,0,-1600000,2385000,FALSE
813,0,-1550000,2385000,FALSE
814,0,-1500000,2385000,TRUE
815,24,-1450000,2385000,TRUE
816,3,-1400000,2385000,TRUE
817,0,-1350000,2385000,TRUE
818,0,-1300000,2385000,TRUE
819,20,-1250000,2385000,TRUE
820,1290,-1200000,2385000,TRUE
821,215,-1150000,2385000,TRUE
822,11,-1100000,2385000,FALSE
823,0,-1050000,2385000,FALSE
824,0,-1000000,2385000,FALSE
825,0,-950000,2385000,FALSE
826,19,-900000,2385000,FALSE
